fk_cuso,fk_dren,consor_nome,AGGREGATO,consor_area,inter_perma_area
"3","3",CONSORZIO IRRIGUO CANALE BEALERASSA,"26",945.01,126.173
"3","3",CONSORZIO IRRIGUO TAVOLERA DI TRINITA',"24",1444.14,0.812
"3","4",CONSORZIO IRRIGUO BEALERA NUOVA 1,"27",324.39,79.982
"4","2",CONSORZIO BEALERA DEL MULINO LESEGNO,"28",19.25,4.204
"3","5",CONSORZIO IRRIGUO CARASSONA,"26",541.21,4.023
"3","4",CONSORZIO IRRIGUO BEALERA NUOVA 1,"27",324.39,107.040
"3","4",CONSORZIO BEALERA FERRETTA,"27",338.67,217.770
"3","4",CONSORZIO IRRIGUO CANALE PISTOIRA,"27",708.19,514.835
"3","2",CONSORZIO IRRIGUO CARASSONA,"26",541.21,8.753
"3","2",CONSORZIO IRRIGUO BEALERA NUOVA 1,"27",324.39,2.317
"3","2",CANALE MOLINO DI LAVAGNA,"27",38.84,22.376
"3","2",CONSORZIO IRRIGUO CARASSONA,"26",541.21,293.468
"3","2",CONSORZIO D'IRRIGAZIONE CANALE BROBBIO - PESIO DI MIGLIORAMENTO FONDIARIO,"26",4184.65,42.447
"3","2",CONSORZIO BEALERA FERRETTA,"27",338.67,37.178
"3","2",CONSORZIO IRRIGUO CANALE PISTOIRA,"27",708.19,93.562
"3","3",CONSORZIO IRRIGUO CARASSONA,"26",541.21,6.040
"1","3",CONSORZIO IRRIGUO CARASSONA,"26",541.21,0.093
"4","3",CONSORZIO DI MIGLIORAMENTO FONDIARIO BORGONUOVO - SAN MARTINO- SAN MARCO,"23",164.72,0.239
"4","3",CONSORZIO IRRIGUO DEL COMUNE DI SANTA VITTORIA D'ALBA,"29",83.44,0.160
"6","2",CONSORZIO IRRIGUO DI BIBIANA,"12",747.18,0.001
"2","4",CONSORZIO IRRIGUO MUSSOTTO VACCHERIA LAVANDARO,"29",2547.91,36.582
"2","4",CONSORZIO IRRIGUO CANALE SEIV,"29",578.59,283.839
"4","3",C.I. MADONNA DEL TAVOLETTO,"30",84.26,6.390
"2","2",CONSORZIO IRRIGUO VALGRANA,"22",111.65,19.213
"2","2",C.I. DEL MOLINO DEL CARAGLIO,"22",1618.38,136.401
"4","3",C.I. MADONNA DEL TAVOLETTO,"30",84.26,0.131
"4","3",C.I. AIATTA,"30",479.90,3.284
"4","3",C.I. RIDDONE,"30",177.62,62.063
"2","3",C.I. AIATTA,"30",479.90,19.566
"4","3",C.I. AIATTA,"30",479.90,43.830
"6","2",CONSORZIO IRRIGUO BEALERA S.BERNARDO,"14",52.15,0.008
"3","5",CONSORZIO IRRIGUO BOCCHETTO TORTORELLO,"23",38.39,3.635
"3","5",CONSORZIO IRRIGUO DI MIGLIORAMENTO FONDIARIO RIO GRIONE,"23",631.02,4.162
"3","5",CONSORZIO DI IRRIGAZIONE NUOVO COLLINA E TAGLIATA,"23",470.19,2.043
"3","5",CONSORZIO IRRIGUO RIVO MEIRANO,"23",614.50,410.469
"3","5",CONSORZIO IRRIGUO RIVO GRIONE CERVERE,"0",67.08,45.243
"2","4",CONSORZIO IRRIGUO DI MIGLIORAMENTO FONDIARIO RIO GRIONE,"23",631.02,0.023
"3","4",CONSORZIO IRRIGUO LA PIOZZA,"26",859.37,2.877
"2","2",PARTECIPANZA CANALE VERMENAGNA DI SPINETA,"25",2846.60,30.284
"2","2",CONSORZIO IRRIGUO CANALE BEALERASSA,"26",945.01,142.927
"6","2",C.I. MONTALDO ROERO VERDE,"30",186.38,0.193
"3","4",CONSORZIO IRRIGUO SANT'EUSEBIO E MORINE DI SALUZZO,"15",807.04,12.621
"2","3",C.I. BALDISSERESE,"30",341.17,6.841
"2","3",C.I. PONTEROTTO,"30",135.04,37.364
"2","3",C.I. BALDISSERESE,"30",341.17,37.286
"2","3",CONSORZIO IRRIGUO IL PEPERONE,"30",228.25,11.806
"2","3",CONSORZIO IRRIGUO MASSA PRATI DI SOMMARIVA DEL BOSCO,"23",513.78,90.515
